USGS_eventID,magnitude,depth(km),source_lat,source_lon,rake_angle,station_name,station_type,elev(m),station_lat,station_lon,rdist(km),fault_type,Ia_geom,Ia_arith,Ia_max,CAV_geom,CAV_arith,CAV_max,CAV5_geom,CAV5_arith,CAV5_max,CAVstd_geom,CAVstd_arith,CAVstd_max,Vs30,PGA,PGV
usp000d6vk,6.6,16,37.226,138.779,,YMN005,Knet,,35.6548,138.5677,183.5359339,,1.85E-05,1.85E-05,1.91E-05,78.76436626,78.83110411,82.07418622,0,0.051516202,0.103032404,0,0,0,190.5,,
usp000d6vk,6.6,16,37.226,138.779,,YMN009,Knet,,35.4965,138.4627,202.4048131,,1.82E-05,1.84E-05,2.13E-05,68.84172326,68.94971298,72.80718095,0,0.445738224,0.891476448,0,0,0,241.3,,
usp000d6vk,6.6,16,37.226,138.779,,YMN010,Knet,,35.7918,138.4096,171.3315376,,1.30E-05,1.30E-05,1.31E-05,60.33237606,60.3414027,61.38508796,0.255258771,0.277906714,0.38779348,0,0,0,523.5,,
usp000d6vk,6.6,16,37.226,138.779,,YMT003,Knet,,38.7292,139.8013,179.4845786,,0.00018578,0.000188188,0.000218199,176.8388826,177.1513926,187.6692586,40.21171124,40.5051044,45.37149537,0,10.42588044,20.85176088,369,,
usp000d6vk,6.6,16,37.226,138.779,,YMT004,Knet,,38.6276,139.5889,161.350621,,2.53E-05,2.53E-05,2.62E-05,61.44771755,61.4676156,63.03151317,4.895604488,4.920670922,5.416714285,0,0,0,411.9,,
usp000d6vk,6.6,16,37.226,138.779,,YMT005,Knet,,38.607,140.1621,185.1811331,,9.37E-05,9.38E-05,9.73E-05,120.4802676,120.5061702,123.0046075,20.57283793,20.5971608,21.59784671,0,3.873331848,7.746663697,146,,
usp000d6vk,6.6,16,37.226,138.779,,YMT007,Knet,,38.4306,140.3907,184.324493,,5.55E-05,5.56E-05,6.00E-05,108.0072762,108.0077571,108.3300732,13.44202229,13.53124529,15.08257892,0,0,0,323.6,,
usp000d6vk,6.6,16,37.226,138.779,,YMT008,Knet,,38.3856,139.9921,156.7418123,,0.000224319,0.000224327,0.000226201,191.3512361,191.3525578,192.0637655,48.7592332,48.78044398,50.21880873,15.74551787,16.38753293,20.92954817,264.8,,
usp000d6vk,6.6,16,37.226,138.779,,YMT009,Knet,,38.3898,140.2743,173.8312689,,6.17E-05,6.26E-05,7.33E-05,121.1651417,121.4585888,129.8964338,11.61363381,11.87233384,14.33725177,0,0,0,356.3,,
usp000d6vk,6.6,16,37.226,138.779,,YMT010,Knet,,38.2604,140.3488,169.1671295,,3.79E-05,3.80E-05,3.99E-05,84.00920085,84.02951688,85.87718559,8.614505524,8.680942538,9.752883734,0,0,0,491.6,,
usp000d6vk,6.6,16,37.226,138.779,,YMT011,Knet,,38.1502,140.2674,156.0030077,,0.00022621,0.000226823,0.000243494,203.4127544,203.6033775,212.4117096,46.23218282,46.33016785,49.34176609,20.19433705,20.38202493,23.14167914,189.6,,
usp000d6vk,6.6,16,37.226,138.779,,YMT012,Knet,,38.1074,140.0428,137.7042188,,0.000110837,0.000110929,0.000115445,118.6940229,118.8091406,124.0379851,23.78562318,23.80790731,24.83775233,7.617660054,7.649960099,8.352202807,293.8,,
usp000d6vk,6.6,16,37.226,138.779,,YMT013,Knet,,38.0621,139.7575,116.1707621,,0.000208145,0.000208407,0.000218857,168.8350323,168.9269739,174.4996207,41.64662072,41.74670412,44.63569837,35.53805052,36.99000915,47.25196521,307.4,,
usp000d6vk,6.6,16,37.226,138.779,,YMT014,Knet,,37.9207,139.8697,112.7981523,,0.000765638,0.000837603,0.001177276,341.4056747,346.6683562,406.844053,112.2663315,116.3103737,146.7138905,142.4886683,149.1789082,193.3527247,279.1,,
usp000d6vk,6.6,16,37.226,138.779,,YMT015,Knet,,37.9043,140.0996,128.3804229,,0.000414858,0.000414901,0.000420885,291.1410196,291.1893802,296.4961504,72.32206246,72.34622016,74.21567259,76.51072697,76.96402315,85.30485755,132.5,,
usp000d6vk,6.6,16,37.226,138.779,,AICH05,KIKnet,,34.8886,136.8763,321.232715,,4.97E-06,4.98E-06,5.28E-06,51.39205684,51.41376783,52.90776141,0,0,0,0,0,0,301.3245033,,
usp000d6vk,6.6,16,37.226,138.779,,AICH07,KIKnet,,35.2194,137.4039,264.813753,,4.68E-07,4.68E-07,4.73E-07,11.30340424,11.30577674,11.53738068,0,0,0,0,0,0,428.1007217,,
usp000d6vk,6.6,16,37.226,138.779,,AICH14,KIKnet,,35.1842,137.0474,285.3033143,,3.84E-06,3.85E-06,4.11E-06,33.66827775,33.71828611,35.55401247,0,0,0,0,0,0,394.9468085,,
